uuid,signup_date,tenure,monthly_charges,support_calls,tier,product,operating_system,churn,churn_date,last_updated
3b763caa-c6da-4332-90a9-1b2010163b55,2024-05-26,1,57.454011884736246,7,Individual,Product A,Linux,1,2024-07-07,2024-10-28
cda688b4-84da-4e59-8578-477fc85d9d47,2022-05-26,29,115.07143064099162,2,Team,Product B,Linux,0,,2024-10-28
97e87c68-5dd5-49ce-942a-9669906def7e,2022-01-07,7,93.1993941811405,7,Enterprise,Product A,Windows,1,2022-09-01,2024-10-28
5e4856fb-3ad2-4b40-b61a-5e0d42cf5107,2022-10-02,25,79.86584841970367,4,Team,Product A,Linux,0,,2024-10-28
4bc8a699-5d46-443e-9a00-e1e70fed39a8,2022-11-07,24,35.601864044243655,0,Enterprise,Product B,Linux,0,,2024-10-28
d97d0cc4-c9fc-4076-b135-a15d713c5afd,2022-04-30,30,35.59945203362027,6,Enterprise,Product B,Windows,0,,2024-10-28
2b67fb8f-fe41-42f4-bd64-37397056dc52,2022-06-11,11,25.808361216819947,4,Enterprise,Product A,Mac,1,2023-05-17,2024-10-28
9e3fca25-94da-46a9-a92e-ce7bef7ecaf2,2024-10-16,0,106.61761457749351,5,Enterprise,Product B,Mac,0,,2024-10-28
dc7ebcc5-a7ab-4e7a-83af-42c1b49ff61b,2023-03-01,20,80.11150117432088,5,Enterprise,Product B,Windows,0,,2024-10-28
b7e85e55-7aa3-43a7-af89-8fc88acfd79b,2023-06-19,16,90.80725777960456,7,Enterprise,Product B,Mac,0,,2024-10-28
5e39c672-2ef9-4548-9cd1-d42fb5960c70,2024-03-05,7,22.058449429580243,8,Enterprise,Product B,Linux,0,,2024-10-28
77d5ff46-1937-4186-b9ea-54feae123536,2022-09-09,26,116.99098521619943,1,Team,Product A,Windows,0,,2024-10-28
d7d37b5e-3b9b-456e-8f8c-90249b0b78d0,2023-03-03,20,103.24426408004217,8,Individual,Product A,Windows,0,,2024-10-28
0bcce56c-4a79-4d9f-8ce8-aacec9668346,2023-01-07,22,41.23391106782762,9,Individual,Product A,Windows,0,,2024-10-28
3364c5e2-18f5-4910-b5c0-225a72097758,2022-07-03,28,38.18249672071006,8,Team,Product B,Mac,0,,2024-10-28
52de6e8f-6983-46c1-bbcb-9902655c6c6c,2022-04-07,8,38.34045098534338,9,Team,Product B,Windows,1,2022-12-27,2024-10-28
f765ae03-252b-481a-9b41-74af42fc696d,2023-02-09,20,50.42422429595377,9,Team,Product B,Windows,0,,2024-10-28
495b0d1b-f716-4a18-84b7-5ee85f6fc16e,2024-06-08,4,72.4756431632238,6,Team,Product B,Windows,0,,2024-10-28
d291752f-0c64-481c-ae28-c688a0108a95,2022-11-15,23,63.194501864211574,0,Enterprise,Product B,Mac,0,,2024-10-28
31993c86-202f-44c4-a038-f886d556289f,2023-07-08,5,49.12291401980419,6,Individual,Product B,Linux,1,2024-01-02,2024-10-28
8818bee3-fb55-4ff5-8780-31e1bfb5c7bc,2023-04-13,18,81.18528947223794,9,Enterprise,Product B,Windows,0,,2024-10-28
eb834d31-9afe-4ef5-bc2b-81d1a71a496d,2023-07-16,15,33.94938606520418,4,Individual,Product A,Linux,0,,2024-10-28
461336f1-3f10-4c42-a02d-a475c0db3a4a,2023-10-11,12,49.21446485352182,5,Individual,Product A,Mac,0,,2024-10-28
f2b482d5-cb0d-4e13-869b-5fcaaa24d618,2022-04-17,11,56.63618432936917,9,Team,Product B,Mac,1,2023-04-03,2024-10-28
020740fd-8df6-4e53-b3cd-ea22d9cbf7f2,2023-09-08,13,65.6069984217036,6,Enterprise,Product B,Mac,0,,2024-10-28
8a40ab1b-e83c-4e3f-826e-c2130775253a,2023-12-26,10,98.51759613930136,4,Team,Product B,Mac,0,,2024-10-28
124282d9-ff05-4e96-ba02-2e56bafaf1d0,2023-01-19,21,39.96737821583598,6,Enterprise,Product A,Linux,0,,2024-10-28
53d64e36-4add-46f7-8514-e2242c29b7a5,2022-01-08,6,71.42344384136116,8,Individual,Product A,Windows,1,2022-07-11,2024-10-28
a957cb65-719a-4c23-a3d7-be5fe094f1ae,2021-11-26,35,79.24145688620425,2,Team,Product B,Mac,0,,2024-10-28
85a8fefb-f801-4244-a8c2-41665fb7a368,2022-10-21,24,24.645041271999773,7,Team,Product B,Mac,0,,2024-10-28
0aff7c7e-1219-4c26-b8c8-7bd067002f7f,2024-06-11,4,80.75448519014384,1,Individual,Product A,Linux,0,,2024-10-28
7e8ff204-47e1-412e-8eff-9c6a9e2e7000,2022-02-28,32,37.05241236872915,6,Individual,Product A,Linux,0,,2024-10-28
8c78ff0d-72c4-463e-b5ee-3d4ed3a5e457,2022-01-16,33,26.50515929852795,1,Individual,Product A,Mac,0,,2024-10-28
a298b547-366c-41a0-84a1-0b9472570b14,2022-03-21,31,114.88855372533332,3,Team,Product A,Windows,0,,2024-10-28
80e736de-b449-43ee-8986-473b37bd8fcf,2022-05-09,30,116.56320330745594,6,Enterprise,Product B,Windows,0,,2024-10-28
82511a95-af6e-4de3-b84b-9c6bbbe6b435,2024-08-18,2,100.83973481164611,2,Team,Product A,Mac,0,,2024-10-28
498ff990-05e6-4464-b29f-ce7322045891,2024-07-14,3,50.46137691733707,1,Enterprise,Product A,Linux,0,,2024-10-28
1bb744bb-4f4b-4cd8-a274-addb05297951,2021-11-28,35,29.767211400638388,9,Team,Product B,Mac,0,,2024-10-28
09eb4536-b98f-452e-bbc8-4afdb8d68c6e,2022-05-30,29,88.42330265121569,6,Team,Product A,Mac,0,,2024-10-28
698e8830-9bab-41bd-9f40-b60ed72ab51d,2024-06-12,4,64.01524937396013,0,Individual,Product A,Linux,0,,2024-10-28
4f06cb5e-fbc6-4e48-b448-56211fe90ccd,2023-02-22,6,32.20382348447788,7,Enterprise,Product A,Mac,1,2023-09-05,2024-10-28
6b903746-5b16-469b-b905-839bf7db954f,2022-06-19,28,69.51769101112703,2,Team,Product B,Mac,0,,2024-10-28
5f78fe16-42fb-4845-8440-f5da43c68696,2024-01-30,9,23.43885211152184,1,Team,Product A,Mac,0,,2024-10-28
47f6ed17-c1d3-46de-9a1e-3a1b60fdf3eb,2023-09-09,3,110.9320402078782,2,Individual,Product B,Linux,1,2024-01-06,2024-10-28
3c4872b6-d689-4b6d-a589-a9f593a74b4d,2023-06-11,16,45.877998160001695,4,Individual,Product B,Windows,0,,2024-10-28
657f52a6-aec9-4bac-b274-d4ebf5cb5326,2022-10-27,24,86.2522284353982,7,Enterprise,Product A,Windows,0,,2024-10-28
464def2b-0120-4534-a3bd-a820989b70ad,2023-09-01,14,51.1711076089411,9,Team,Product A,Linux,0,,2024-10-28
3f79a7af-eb7b-4238-b594-b2054c51253b,2023-10-05,12,72.00680211778108,6,Enterprise,Product A,Windows,0,,2024-10-28
39d48061-6d50-46fd-8001-a0ea9a5acbaf,2023-11-22,7,74.67102793432797,6,Team,Product A,Mac,1,2024-06-24,2024-10-28
ffcfc30a-01bd-4699-8eb1-3134d51c16f8,2022-03-28,31,38.485445552552704,6,Enterprise,Product B,Windows,0,,2024-10-28
944ef975-7fbf-4798-80a4-d8c9b35ed545,2023-02-23,11,116.95846277645586,7,Individual,Product A,Mac,1,2024-02-05,2024-10-28
4a322e08-41d3-4889-8b66-5bd959f082e6,2023-06-24,6,97.51328233611146,0,Team,Product A,Windows,1,2024-01-13,2024-10-28
6dace3de-2582-4ee2-b236-901f6d714974,2024-04-20,6,113.9498941564189,3,Enterprise,Product A,Linux,0,,2024-10-28
608f2718-e80a-4733-93b8-8725e6b22a29,2023-06-18,16,109.48273504276489,5,Individual,Product B,Windows,0,,2024-10-28
285e6875-fd85-48b0-961f-8829d0e70f2d,2022-07-30,27,79.78999788110852,8,Individual,Product A,Windows,0,,2024-10-28
56ff39b6-8195-4083-9d08-e971ec937a91,2024-03-16,7,112.18742350231169,1,Enterprise,Product A,Windows,0,,2024-10-28
7218f9d8-6b17-4f6b-bebe-37dd64a66b39,2024-06-12,4,28.84925020519195,0,Team,Product B,Linux,0,,2024-10-28
c9b0ba43-c6e8-443e-959b-e807e565a11c,2022-06-26,28,39.59828624191452,9,Team,Product B,Windows,0,,2024-10-28
1e2eaa4c-63f8-4bee-8a1c-4c8a9618d8c1,2022-08-04,27,24.522728891053806,1,Individual,Product A,Linux,0,,2024-10-28
20d8642a-471e-463f-89d0-8fef52776367,2021-11-07,8,52.53303307632643,6,Team,Product A,Mac,1,2022-07-11,2024-10-28
92afe276-1896-49fb-8034-2c37ce6186b6,2024-07-17,3,58.8677289689482,2,Team,Product A,Windows,0,,2024-10-28
b95a37bb-c137-4a98-8290-248c8a3a6b1c,2022-06-11,29,47.13490317738959,9,Team,Product A,Linux,0,,2024-10-28
aee6c0b9-7de9-4073-a48d-2e968ccf30ee,2022-12-31,22,102.87375091519293,1,Individual,Product A,Linux,0,,2024-10-28
1bdd4f3d-858d-4cb1-b60b-d4ddf4975e48,2024-01-30,9,55.67533266935893,6,Enterprise,Product B,Windows,0,,2024-10-28
b3c456f7-62d8-4664-a2f3-8becc598d728,2022-01-03,34,48.093450968738075,1,Team,Product B,Mac,0,,2024-10-28
470075ef-226b-425f-b46d-bb1213542d7f,2024-04-28,6,74.26960831582485,2,Individual,Product A,Linux,0,,2024-10-28
a64dc192-dde5-478f-9ae3-5943e790c342,2021-12-12,9,34.092422497476264,6,Individual,Product A,Windows,1,2022-10-01,2024-10-28
b949b0bd-f0a0-4214-9cdf-91388776579b,2024-01-10,9,100.21969807540397,3,Enterprise,Product B,Mac,0,,2024-10-28
e0897bea-4d8e-4f18-b9d3-785edb100a68,2024-05-05,5,27.45506436797708,0,Team,Product A,Linux,0,,2024-10-28
1ff1cf1c-87e1-42cf-b25d-788d17933889,2024-09-01,4,118.68869366005173,4,Team,Product A,Linux,1,2025-01-05,2024-10-28
3aa97a99-419e-473f-9236-f401e2016a7a,2023-12-26,10,97.22447692966574,8,Enterprise,Product A,Mac,0,,2024-10-28
c9200fad-a976-4335-8908-17b38901160f,2022-02-25,32,39.87156815341724,7,Enterprise,Product A,Mac,0,,2024-10-28
f6d7e1cc-5d94-4df6-9a2b-d1dfa64f0775,2022-11-29,23,20.55221171236024,8,Individual,Product A,Windows,0,,2024-10-28
6987136c-ddcb-4127-94dc-96baecba66cf,2024-08-07,4,101.54614284548342,9,Individual,Product B,Windows,1,2024-12-31,2024-10-28
0125224a-de34-4cd4-8e5b-d87fc5e67c88,2024-02-20,7,90.68573438476172,8,Enterprise,Product A,Linux,1,2024-10-05,2024-10-28
fa8ee1fb-939d-4dbd-80e7-253ee96b492e,2022-08-25,26,92.90071680409874,6,Team,Product A,Mac,0,,2024-10-28
55026b1d-00fd-4e63-bf6e-cbd35024d645,2022-05-16,11,97.12703466859458,3,Individual,Product A,Mac,1,2023-04-30,2024-10-28
a9c09bf2-fe27-48e9-ae8e-d2143ee23b65,2024-04-02,6,27.404465173409037,4,Individual,Product B,Mac,0,,2024-10-28
33670b32-effd-4545-812a-9b2f0dfec8c9,2022-08-05,27,55.84657285442726,0,Team,Product B,Linux,0,,2024-10-28
6a848932-a072-4928-8df8-3fd1d120cdf3,2023-02-28,1,31.58690595251297,0,Individual,Product B,Mac,1,2023-04-19,2024-10-28
68c072db-26bd-410d-9ff2-a5ea294fd806,2023-08-09,7,106.31034258755935,2,Team,Product B,Mac,1,2024-03-25,2024-10-28
0b9e4d57-57bf-41da-b6c0-d36f64bd4041,2023-07-27,15,82.3298126827558,7,Team,Product A,Linux,0,,2024-10-28
bfe55d87-f573-49a6-80b8-756e29349e4f,2022-03-06,32,53.08980248526492,1,Team,Product B,Windows,0,,2024-10-28
1c4fa1db-5a41-4b9d-8001-0cce0ee48785,2023-07-15,15,26.355835028602364,3,Enterprise,Product A,Windows,0,,2024-10-28
f58e2c70-8781-4bf5-8229-8ac757cfc9f6,2023-10-25,12,51.098232171566224,1,Enterprise,Product A,Linux,0,,2024-10-28
03be0c94-1f5b-4898-bf00-ea3becb27ab1,2022-05-13,29,52.518332202674706,4,Enterprise,Product B,Mac,0,,2024-10-28
8a63250b-9042-45e0-b900-098e8c705113,2022-04-20,30,92.96061783380641,8,Team,Product B,Linux,0,,2024-10-28
85d4c397-7921-4211-9f87-add9141e4c56,2024-06-14,4,83.75574713552132,0,Team,Product B,Windows,0,,2024-10-28
c0831eac-1305-4ece-a9cc-5b217281c8e5,2023-10-28,12,108.72127425763266,4,Enterprise,Product B,Windows,0,,2024-10-28
